airline_sentiment,text
negative,@VirginAmerica everything was fine until you lost my bag
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
negative,@VirginAmerica Why is the site down?  When will it be back up?
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
positive,@VirginAmerica Have a great week 🌞✈
positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
negative,@VirginAmerica Another delayed flight? #likingyoulessandless
negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
positive,@VirginAmerica always!!! Xoxo
negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
negative,@VirginAmerica is the website down?
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
positive,@VirginAmerica Thank you for the follow
negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
positive,@VirginAmerica Only way to fly! #Elevate #Gold
negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative,@VirginAmerica you suck!
positive,@VirginAmerica thanks!
negative,@VirginAmerica Just DM'd. Same issue persisting.
negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative,@VirginAmerica trying to book a flight &amp; your site is down 😁
negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
negative,@VirginAmerica Your website is down and I'm trying to check in!
positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
positive,@VirginAmerica Keep up the great work :)
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
negative,@VirginAmerica hold times at call center are a bit much
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
negative,@VirginAmerica Site down? #help
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive,@VirginAmerica thanks so much!
negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
positive,@VirginAmerica Very nicely done. 👏
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive,@VirginAmerica sounds like fun !
negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
negative,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
negative,@VirginAmerica there is something wrong with you website in Safari iPhone
positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
negative,@VirginAmerica Already checked in so the page expired :X
negative,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
positive,@VirginAmerica I see what you did there ;)
positive,@VirginAmerica your inflight team makes the experience #amazing!
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
positive,@VirginAmerica fav airline
positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
negative,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
positive,@VirginAmerica Thank you!!
negative,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
negative,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
negative,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
positive,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
positive,@VirginAmerica happy to spend the day together. Let's do this!
positive,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
positive,@VirginAmerica thank you! I absolutely will 😎
negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
positive,@VirginAmerica How about some free drinks on the flight back for the free promo?
positive,@VirginAmerica @SSal thanks!
negative,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
positive,@VirginAmerica Thanks!
positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
negative,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)"
negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
positive,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
negative,@VirginAmerica trying to check-in...but looks like your site is down?
negative,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!"
negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
negative,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
negative,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
negative,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
negative,"@VirginAmerica
wjere is our luggage #so slow at lax"
negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
positive,@VirginAmerica ok! first time flying with you tonight :)
negative,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
negative,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
positive,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
negative,@VirginAmerica delayed to10.30!!
negative,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
positive,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
negative,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
positive,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
negative,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?"
positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
positive,@VirginAmerica that doesn't look to fat to me! It looks yummy!
positive,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️
positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
negative,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help
positive,@VirginAmerica thank you
negative,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!
positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
negative,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!
negative,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!
positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
positive,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!
positive,@VirginAmerica great. Well deserved.
negative,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
negative,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
negative,@VirginAmerica all crap channels which is why I pay to watch UK tv
positive,@VirginAmerica got it. All set - Thanks!
positive,@VirginAmerica Giants and Virgin America. A match made in heaven.
positive,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
negative,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(
positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
negative,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
positive,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
positive,@VirginAmerica OMG FINALLY
negative,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
negative,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
positive,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes."
positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
positive,@VirginAmerica Congrats VX on the new route! ✈️🎉
negative,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time."
negative,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
negative,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.
negative,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!"
negative,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1)
negative,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........
positive,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.
positive,@VirginAmerica That's classy.
positive,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.
positive,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍
negative,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.
